||211.75.237.90||传入资料-json:[]传入资料-原始:
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041051508322eeqbtkme","p3_Amount":"10.00","p4_Cur":"1","p5_ProductName":"汇聚,业务交易号:20181204105150258652b00056","p7_Mp":"D2018110113895221","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"164ec6d36e2fc5db57586e4d50afc219"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041051508322eeqbtkme&p3_Amount=10.00&p4_Cur=1&p5_ProductName=%E6%B1%87%E8%81%9A%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204105150258652b00056&p7_Mp=D2018110113895221&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=164ec6d36e2fc5db57586e4d50afc219
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105000005221","p2_OrderNo":"201812041126054934yqeg19j","p3_Amount":"200.00","p4_Cur":"1","p5_ProductName":"德清莫干山,业务交易号:20181204112543211bab00037","p7_Mp":"/js/2088132208606866/D2018112214127944","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"ebd6f027bc915393a2e2075598606d08"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105000005221&p2_OrderNo=201812041126054934yqeg19j&p3_Amount=200.00&p4_Cur=1&p5_ProductName=%E5%BE%B7%E6%B8%85%E8%8E%AB%E5%B9%B2%E5%B1%B1%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204112543211bab00037&p7_Mp=%2Fjs%2F2088132208606866%2FD2018112214127944&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=ebd6f027bc915393a2e2075598606d08
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000607","p2_OrderNo":"201812041126091964yqeg18g","p3_Amount":"50.00","p4_Cur":"1","p5_ProductName":"常熟法羽莱,业务交易号:20181204112542444bab00020","p7_Mp":"/js/2088612171172040/D2018112614254265","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"4b41d4ff0d095a682cb65eaf5c44c29b"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000607&p2_OrderNo=201812041126091964yqeg18g&p3_Amount=50.00&p4_Cur=1&p5_ProductName=%E5%B8%B8%E7%86%9F%E6%B3%95%E7%BE%BD%E8%8E%B1%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204112542444bab00020&p7_Mp=%2Fjs%2F2088612171172040%2FD2018112614254265&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=4b41d4ff0d095a682cb65eaf5c44c29b
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000607","p2_OrderNo":"201812041126145054yqeg18g","p3_Amount":"50.00","p4_Cur":"1","p5_ProductName":"吉林省晟吉,业务交易号:20181204112536812bab00020","p7_Mp":"/js/2088712424245250/D2018112614265404","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"550369ee7edd60b961dc9cb4c233afff"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000607&p2_OrderNo=201812041126145054yqeg18g&p3_Amount=50.00&p4_Cur=1&p5_ProductName=%E5%90%89%E6%9E%97%E7%9C%81%E6%99%9F%E5%90%89%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204112536812bab00020&p7_Mp=%2Fjs%2F2088712424245250%2FD2018112614265404&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=550369ee7edd60b961dc9cb4c233afff
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105200000607","p2_OrderNo":"201812041127116514yqeg18g","p3_Amount":"100.00","p4_Cur":"1","p5_ProductName":"深圳市恒利,业务交易号:20181204112611667bab00020","p7_Mp":"/js/2088912961841568/D2018112614271700","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"1ca5c9a659a33f520e349f9d576fa6c6"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105200000607&p2_OrderNo=201812041127116514yqeg18g&p3_Amount=100.00&p4_Cur=1&p5_ProductName=%E6%B7%B1%E5%9C%B3%E5%B8%82%E6%81%92%E5%88%A9%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204112611667bab00020&p7_Mp=%2Fjs%2F2088912961841568%2FD2018112614271700&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=1ca5c9a659a33f520e349f9d576fa6c6
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002521","p2_OrderNo":"201812041348426144yqeg18g","p3_Amount":"2966.00","p4_Cur":"1","p5_ProductName":"圣源祥保险,业务交易号:20181204134754241bab00020","p7_Mp":"/js/2088002283471991/D2018120214454049","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"7f027d8371716ce6ebcb952b2fe6e00e"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002521&p2_OrderNo=201812041348426144yqeg18g&p3_Amount=2966.00&p4_Cur=1&p5_ProductName=%E5%9C%A3%E6%BA%90%E7%A5%A5%E4%BF%9D%E9%99%A9%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204134754241bab00020&p7_Mp=%2Fjs%2F2088002283471991%2FD2018120214454049&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=7f027d8371716ce6ebcb952b2fe6e00e
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888105000005221","p2_OrderNo":"201812041352148704yqeg19j","p3_Amount":"10.00","p4_Cur":"1","p5_ProductName":"准格尔旗京,业务交易号:20181204135132725bab00037","p7_Mp":"/js/2088222495004480/D2018112114085924","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"fb8b3275904534faf160a7073b5ee1e1"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888105000005221&p2_OrderNo=201812041352148704yqeg19j&p3_Amount=10.00&p4_Cur=1&p5_ProductName=%E5%87%86%E6%A0%BC%E5%B0%94%E6%97%97%E4%BA%AC%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204135132725bab00037&p7_Mp=%2Fjs%2F2088222495004480%2FD2018112114085924&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=fb8b3275904534faf160a7073b5ee1e1
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041452100052eeqbtkme","p3_Amount":"1.00","p4_Cur":"1","p5_ProductName":"汇聚,业务交易号:20181204145210005652b00056","p7_Mp":"D2018110113895221","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"175c749bc5f8c649f044e8e65e9d505b"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041452100052eeqbtkme&p3_Amount=1.00&p4_Cur=1&p5_ProductName=%E6%B1%87%E8%81%9A%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204145210005652b00056&p7_Mp=D2018110113895221&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=175c749bc5f8c649f044e8e65e9d505b
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041620480044yqeg18g","p3_Amount":"148.00","p4_Cur":"1","p5_ProductName":"吉林市供销,业务交易号:20181204162034004bab00020","p7_Mp":"/js/2088912976786704/D2018112214108952","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"140405d3ffc0f2c76ef2186e630ae4cb"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041620480044yqeg18g&p3_Amount=148.00&p4_Cur=1&p5_ProductName=%E5%90%89%E6%9E%97%E5%B8%82%E4%BE%9B%E9%94%80%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162034004bab00020&p7_Mp=%2Fjs%2F2088912976786704%2FD2018112214108952&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=140405d3ffc0f2c76ef2186e630ae4cb
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041622470044yqeg18g","p3_Amount":"200.00","p4_Cur":"1","p5_ProductName":"重庆上久传,业务交易号:20181204162229007bab00020","p7_Mp":"/js/2088122631578379/D2018112214110587","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"5d440820dcf03eacc7351b0979bdba8e"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041622470044yqeg18g&p3_Amount=200.00&p4_Cur=1&p5_ProductName=%E9%87%8D%E5%BA%86%E4%B8%8A%E4%B9%85%E4%BC%A0%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162229007bab00020&p7_Mp=%2Fjs%2F2088122631578379%2FD2018112214110587&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=5d440820dcf03eacc7351b0979bdba8e
